,first_name,last_name,nick_name,height,weight,reach,stance,wins,losses,draws,fighter_url
1175,Kazuhiro,Hamanaka,,"6' 0""",185 lbs.,--,Southpaw,5,7,1,http://ufcstats.com/fighter-details/1b4d6971bb18b82c
1176,Matt,Hamill,The Hammer,"6' 1""",205 lbs.,"76.0""",Orthodox,12,5,0,http://ufcstats.com/fighter-details/98b80a717b9bda17
1177,Jeremy,Hamilton,Hawk,--,185 lbs.,--,,8,1,0,http://ufcstats.com/fighter-details/7ada6ea792a34424
1178,Anthony,Hamilton,Freight Train,"6' 5""",260 lbs.,"76.0""",Orthodox,15,9,0,http://ufcstats.com/fighter-details/c727c7d31c50c4cf
1179,CJ,Hamilton,The Autobot,"5' 7""",125 lbs.,"68.0""",Switch,11,4,0,http://ufcstats.com/fighter-details/7da5839b223f3728
1180,Jared,Hamman,The Messenger,"6' 3""",185 lbs.,"75.0""",Orthodox,13,6,0,http://ufcstats.com/fighter-details/23459ee7e373b98f
1181,James,Hammortree,The Sledge,"6' 3""",185 lbs.,--,Orthodox,6,2,0,http://ufcstats.com/fighter-details/1f77fce698e80488
1182,Dean,Hancock,The Hammer,--,155 lbs.,--,,2,1,0,http://ufcstats.com/fighter-details/24e9d6b0a24cff9d
1183,Joachim,Hansen,Hellboy,"5' 7""",150 lbs.,--,Southpaw,22,11,1,http://ufcstats.com/fighter-details/86e388ed20761ad9
1184,Nasrat,Haqparast,,"5' 10""",155 lbs.,"72.0""",Southpaw,11,2,0,http://ufcstats.com/fighter-details/b7b84ccd221be298
1185,Janay,Harding,Hollowpoint,--,135 lbs.,--,,3,2,0,http://ufcstats.com/fighter-details/b9c3ee342eb72100
1186,Antoni,Hardonk,,"6' 4""",245 lbs.,"78.0""",Orthodox,8,6,0,http://ufcstats.com/fighter-details/69b69c0178c4004d
1187,Dan,Hardy,The Outlaw,"6' 0""",170 lbs.,"74.0""",Orthodox,25,10,0,http://ufcstats.com/fighter-details/473ce3aa581251a2
1188,Greg,Hardy,Prince of War,"6' 5""",265 lbs.,"80.0""",Orthodox,5,1,0,http://ufcstats.com/fighter-details/85073dbd1be65ed9
1189,Baru,Harn,Seiryu,--,265 lbs.,--,,1,2,0,http://ufcstats.com/fighter-details/848809f3986b4977
1190,Scott,Harper,,"6' 0""",185 lbs.,--,Orthodox,12,7,0,http://ufcstats.com/fighter-details/14a433bccba87016
1191,Gerry,Harris,,"6' 8""",270 lbs.,--,Orthodox,1,4,0,http://ufcstats.com/fighter-details/30cd319d39ee689b
1192,Gerald,Harris,,"5' 11""",185 lbs.,"77.0""",Southpaw,19,4,0,http://ufcstats.com/fighter-details/c4b81cdecd5d6abe
1193,Phil,Harris,Billy,"5' 4""",125 lbs.,"64.0""",Orthodox,22,12,0,http://ufcstats.com/fighter-details/ba043b03eb799063
1194,Walt,Harris,The Big Ticket,"6' 5""",250 lbs.,"77.0""",Southpaw,13,7,0,http://ufcstats.com/fighter-details/03f982ca3735070c
1195,Dhafir,Harris,Dada 5000,--,257 lbs.,--,,2,0,0,http://ufcstats.com/fighter-details/0e96af5220d27ed4
1196,Trevor,Harris,,"5' 6""",145 lbs.,--,,2,2,0,http://ufcstats.com/fighter-details/0e98b05d3cf6d271
1197,Collin,Hart,,"6' 1""",185 lbs.,"76.0""",Orthodox,4,2,1,http://ufcstats.com/fighter-details/16bf6a73bdd302cd
1198,Dale,Hartt,,"5' 10""",155 lbs.,"69.0""",Orthodox,6,3,0,http://ufcstats.com/fighter-details/058e4e08a1ad8aba
1199,Luke,Hartwig,,--,--,--,,0,1,0,http://ufcstats.com/fighter-details/34f3869747bf8fa9
